variant,inst_type,n,density,beam_width,avg_obj,avg_time,avg_gap,std_gap,max_gap,success_rate
Fennich_Baseline,Gallo,50,0.5,0,35862.566666666666,37.92395833333333,0.071593162733284,0.2513567878180049,1.2997316138615531,83.33333333333334
V1_Static_Greedy,Gallo,50,0.5,1,35890.833333333336,0.1427083333333333,0.0478026987078564,0.2529156889208657,1.4095898324667822,93.33333333333331
V2_Dynamic_Greedy,Gallo,50,0.5,1,35891.13333333333,0.2338541666666666,0.0469863277488927,0.2530291186098246,1.4095898324667822,96.66666666666669
V3_Diverse_Beam_Static,Gallo,50,0.5,5,35895.2,1.5109375,0.0,0.0,0.0,100.0
V3b_Standard_Beam,Gallo,50,0.5,5,35895.2,0.9166666666666666,0.0,0.0,0.0,100.0
V3c_Standard_Beam_Static,Gallo,50,0.5,5,35895.2,0.5296875,0.0,0.0,0.0,100.0
V4_Full_Proposed,Gallo,50,0.5,5,35893.8,1.98125,0.0161756210283073,0.0885975251885884,0.4852686308492201,96.66666666666669
Fennich_Baseline,Gallo,50,0.75,0,49171.2,33.021875,0.1404534712323955,0.3817022649572211,1.9349377191921635,73.33333333333333
V1_Static_Greedy,Gallo,50,0.75,1,49218.2,0.1255208333333333,0.023410229931141,0.0811407005948727,0.4102431230297534,90.0
V2_Dynamic_Greedy,Gallo,50,0.75,1,49218.2,0.1947916666666666,0.023410229931141,0.0811407005948727,0.4102431230297534,90.0
V3_Diverse_Beam_Static,Gallo,50,0.75,5,49223.4,1.2828125,0.0,0.0,0.0,100.0
V3b_Standard_Beam,Gallo,50,0.75,5,49223.4,0.7723958333333333,0.0,0.0,0.0,100.0
V3c_Standard_Beam_Static,Gallo,50,0.75,5,49223.4,0.45,0.0,0.0,0.0,100.0
V4_Full_Proposed,Gallo,50,0.75,5,49223.4,1.6625,0.0,0.0,0.0,100.0
Fennich_Baseline,Gallo,50,1.0,0,73472.66666666667,41.48645833333333,0.0776771849067999,0.1417193645720946,0.4587110516669143,63.33333333333333
V1_Static_Greedy,Gallo,50,1.0,1,73535.43333333333,0.1453125,0.0,0.0,0.0,100.0
V2_Dynamic_Greedy,Gallo,50,1.0,1,73535.43333333333,0.2380208333333333,0.0,0.0,0.0,100.0
V3_Diverse_Beam_Static,Gallo,50,1.0,5,73535.43333333333,1.6859375,0.0,0.0,0.0,100.0
V3b_Standard_Beam,Gallo,50,1.0,5,73535.43333333333,0.915625,0.0,0.0,0.0,100.0
V3c_Standard_Beam_Static,Gallo,50,1.0,5,73535.43333333333,0.5260416666666666,0.0,0.0,0.0,100.0
V4_Full_Proposed,Gallo,50,1.0,5,73535.43333333333,1.8296875,0.0,0.0,0.0,100.0
Fennich_Baseline,Gallo,75,0.25,0,32420.533333333333,157.34375,,,,
V1_Static_Greedy,Gallo,75,0.25,1,32407.533333333333,0.3036458333333333,,,,
V2_Dynamic_Greedy,Gallo,75,0.25,1,32424.166666666668,0.546875,,,,
V3_Diverse_Beam_Static,Gallo,75,0.25,5,32424.0,3.279166666666667,,,,
V3b_Standard_Beam,Gallo,75,0.25,5,32436.13333333333,2.177083333333333,,,,
V3c_Standard_Beam_Static,Gallo,75,0.25,5,32432.166666666668,1.1916666666666669,,,,
V4_Full_Proposed,Gallo,75,0.25,5,32435.966666666667,4.3421875,,,,
Fennich_Baseline,Gallo,75,0.5,0,65928.56666666667,167.3484375,,,,
V1_Static_Greedy,Gallo,75,0.5,1,65975.6,0.3151041666666667,,,,
V2_Dynamic_Greedy,Gallo,75,0.5,1,65972.1,0.5432291666666667,,,,
V3_Diverse_Beam_Static,Gallo,75,0.5,5,65986.26666666666,3.4671875,,,,
